name,coverage
E05001294 Olton,0.0
E05001295 St Alphege,51.635215263977685,200
E05001296 Shirley East,0.0
E05001297 Shirley South,0.0
E05001298 Shirley West,0.0
E05001299 Silhill,0.0
E05001300 Smith's Wood,0.0
E05001301 Aldridge Central and South,73.45636489135967,200
E05001302 Aldridge North and Walsall Wood,0.0
E05001303 Bentley and Darlaston North,0.0
E05001304 Birchills Leamore,0.0
E05001305 Blakenall,0.0
E05001306 Bloxwich East,0.0
E05001307 Bloxwich West,0.0
E05001308 Brownhills,74.56511327303122,200
E05001309 Darlaston South,0.0
E05001310 Paddock,0.0
E05001311 Palfrey,0.0
E05001312 Pelsall,61.493105376794986,200
E05001313 Pheasey Park Farm,51.39820134174034,200
E05001314 Pleck,0.0
E05001315 Rushall-Shelfield,0.0
E05001316 St Matthew's,0.0
E05001317 Short Heath,0.0
E05001318 Streetly,0.0
E05001319 Willenhall North,0.0
E05001320 Willenhall South,0.0
E05001341 Baildon,71.34376156142667,200
E05001342 Bingley,80.62865689770753,200
E05001343 Bingley Rural,92.79374701315997,197,3
E05001344 Bolton and Undercliffe,0.0
E05001345 Bowling and Barkerend,0.0
E05001346 Bradford Moor,0.0
E05001347 City,0.0
E05001348 Clayton and Fairweather Green,0.0
E05001349 Craven,92.99401441387063,194,6
E05001350 Eccleshill,0.0
E05001351 Great Horton,0.0
E05001352 Heaton,0.0
E05001353 Idle and Thackley,68.05683361668812,200
E05001354 Ilkley,88.56851719934913,200
E05001355 Keighley Central,0.0
E05001356 Keighley East,71.6187685114944,200
E05001357 Keighley West,0.0
E05001358 Little Horton,0.0
E05001359 Manningham,0.0
E05001360 Queensbury,40.47825842935835,200
E05001361 Royds,0.0
E05001362 Shipley,0.0
E05001363 Thornton and Allerton,58.47234135686918,200
E05001364 Toller,0.0
E05001365 Tong,53.70647173594159,200
E05001366 Wharfedale,72.78599285378174,200
E05001367 Wibsey,0.0
E05001368 Windhill and Wrose,0.0
E05001369 Worth Valley,94.47685367015139,190,8,2
E05001370 Wyke,0.0
E05001371 Brighouse,34.681438483545726,200
E05001372 Calder,94.01409589817072,186,12,0,2
E05001373 Elland,69.7306325629902,200
E05001374 Greetland and Stainland,67.97485286261382,200
E05001375 Hipperholme and Lightcliffe,69.08394145029844,200
E05001376 Illingworth and Mixenden,73.37951075313272,200
E05001377 Luddendenfoot,88.95333797897918,200
E05001378 Northowram and Shelf,82.1242483196159,200
E05001379 Ovenden,0.0
E05001380 Park,0.0
E05001381 Rastrick,0.0
E05001382 Ryburn,87.31692084731098,191,8,1
E05001383 Skircoat,0.0
E05001384 Sowerby Bridge,0.0
E05001385 Todmorden,91.67714695692254,196,4
E05001386 Town,60.794102756959155,200
E05001387 Warley,0.0
E05001389 Ashbrow,78.66918220576385,200
E05001390 Batley East,0.0
E05001391 Batley West,0.0
E05001392 Birstall and Birkenshaw,0.0
E05001393 Cleckheaton,73.79818427860697,200
E05001396 Dalton,58.85523586992392,200
E05001397 Denby Dale,93.21279720520448,196,4
E05001398 Dewsbury East,0.0
E05001399 Dewsbury South,69.04726161760458,200
E05001400 Dewsbury West,0.0
E05001401 Golcar,0.0
E05001402 Greenhead,0.0
E05001403 Heckmondwike,0.0
E05001405 Holme Valley South,93.0012710260816,192,8
E05001407 Lindley,56.047254687765275,200
E05001408 Liversedge and Gomersal,76.62245966031139,200
E05001409 Mirfield,81.20333535229848,200
E05001410 Newsome,46.260793248662694,200
"E05001444 Ackworth, North Elmsall and Upton",88.1700515068021,197,3
E05001445 Airedale and Ferry Fryston,66.09546346071258,200
E05001446 Altofts and Whitwood,26.53720962254429,200
E05001447 Castleford Central and Glasshoughton,0.0
"E05001448 Crofton, Ryhill and Walton",90.01449378409951,197,3
E05001449 Featherstone,62.82926736787587,200
E05001450 Hemsworth,84.38672723318074,200
E05001451 Horbury and South Ossett,59.064586600986004,200
E05001452 Knottingley,39.92077223544306,200
E05001453 Normanton,33.02213995291819,200
E05001454 Ossett,80.20767534184345,200
E05001455 Pontefract North,65.34552687112527,200
E05001456 Pontefract South,83.65195067648816,200
E05001457 South Elmsall and South Kirkby,73.33972077066325,200
E05001458 Stanley and Outwood East,31.81583521942949,200
E05001459 Wakefield East,0.0
E05001460 Wakefield North,0.0
E05001461 Wakefield Rural,84.20086411936458,196,4
E05001462 Wakefield South,53.6200405551802,200
E05001463 Wakefield West,0.0
E05001464 Wrenthorpe and Outwood West,76.13417599313665,200
E05001687 Beverley Rural,94.26977456222373,166,30,0,4
E05001688 Bridlington Central and Old Town,90.40058527510696,197,3
E05001689 Bridlington North,70.72693288845859,200
E05001690 Bridlington South,63.344219233545594,200
E05001691 Cottingham North,0.0
E05001692 Cottingham South,0.0
E05001693 Dale,92.44958121897497,186,14
E05001694 Driffield and Rural,94.76453128593909,178,20,2
E05001695 East Wolds and Coastal,95.81495711463873,132,38,21,0,9
E05001696 Goole North,0.0
E05001697 Goole South,0.0
E05001698 Hessle,58.023511125278816,200
E05001699 Howden,83.9783383353757,200
E05001700 Howdenshire,94.09873089383088,150,33,15,0,2
E05001701 Mid Holderness,95.63222795112529,161,26,11,0,2
E05001702 Minster and Woodmansey,75.14184477030665,200
E05001703 North Holderness,85.90894099586714,193,6,1
E05001705 St Mary's,62.227498598998565,200
"E05001706 Snaith, Airmyn, Rawcliffe and Marshland",91.79206941241034,179,21
E05001707 South East Holderness,95.37434111331605,166,22,10,0,2
E05001708 South Hunsley,90.63651794610901,198,2
E05001709 South West Holderness,81.98715544751256,194,6
E05001710 Tranby,0.0
E05001711 Willerby and Kirk Ella,80.12488341721406,200
E05001713 Croft Baker,0.0
E05001714 East Marsh,0.0
E05001715 Freshney,0.0
E05001716 Haverstoe,0.0
E05001717 Heneage,0.0
E05001718 Humberston and New Waltham,71.61596631029849,200
E05001719 Immingham,92.95292923390268,195,5
E05001720 Park,0.0
E05001721 Scartho,0.0
E05001722 Sidney Sussex,0.0
E05001723 South,0.0
E05001724 Waltham,82.10086166697869,200
E05001725 West Marsh,0.0
E05001726 Wolds,93.72464852686788,195,5
E05001727 Yarborough,0.0
E05002078 Budshead,0.0
E05002079 Compton,0.0
E05002080 Devonport,0.0
E05002081 Drake,0.0
E05002082 Efford and Lipson,0.0
E05002083 Eggbuckland,0.0
E05002084 Ham,0.0
E05002085 Honicknowle,0.0
E05002086 Moor View,72.79161294565796,200
E05002087 Peverell,0.0
E05002088 Plympton Chaddlewood,0.0
E05002089 Plympton Erle,0.0
E05002090 Plympton St Mary,0.0
E05002091 Plymstock Dunstone,0.0
E05002092 Plymstock Radford,0.0
E05002093 St Budeaux,0.0
E05002094 St Peter and the Waterfront,0.0
E05002095 Southway,0.0
E05002096 Stoke,0.0
E05002097 Sutton and Mount Gould,0.0
E05002212 Belfairs,0.0
E05002213 Blenheim Park,0.0
E05002214 Chalkwell,0.0
E05002215 Eastwood Park,0.0
E05002216 Kursaal,0.0
E05002217 Leigh,0.0
E05002218 Milton,0.0
E05002219 Prittlewell,0.0
E05002220 St Laurence,0.0
E05002221 St. Luke's,0.0
E05002222 Shoeburyness,0.0
E05002223 Southchurch,0.0
E05002224 Thorpe,0.0
E05002225 Victoria,0.0
E05002226 Westborough,0.0
E05002227 West Leigh,0.0
E05002228 West Shoebury,0.0
E05002229 Aveley and Uplands,41.23122024219871,200
E05002230 Belhus,0.0
E05002231 Chadwell St Mary,0.0
E05002232 Chafford and North Stifford,0.0
E05002233 Corringham and Fobbing,75.86361134897771,200
E05002234 East Tilbury,74.20952587528578,200
E05002235 Grays Riverside,0.0
E05002236 Grays Thurrock,0.0
E05002237 Little Thurrock Blackshots,0.0
E05002238 Little Thurrock Rectory,0.0
E05002239 Ockendon,80.07252874219783,200
E05002240 Orsett,91.11926349325178,193,6,1
E05002241 South Chafford,0.0
E05002242 Stanford East and Corringham Town,0.0
E05002243 Stanford-le-Hope West,63.61472886353049,200
E05002244 Stifford Clays,0.0
E05002245 The Homesteads,0.0
E05002246 Tilbury Riverside and Thurrock Park,0.0
E05002247 Tilbury St Chads,0.0
E05002248 West Thurrock and South Stifford,47.20109132839546,200
E05002441 Baffins,0.0
E05002442 Central Southsea,0.0
E05002443 Charles Dickens,0.0
E05002444 Copnor,0.0
E05002445 Cosham,0.0
E05002446 Drayton and Farlington,62.415519942853464,200
E05002447 Eastney and Craneswater,0.0
E05002448 Fratton,0.0
E05002449 Hilsea,0.0
E05002450 Milton,0.0
E05002451 Nelson,0.0
E05002452 Paulsgrove,0.0
E05002453 St Jude,0.0
E05002454 St Thomas,0.0
E05004096 Bicknacre and East and West Hanningfield,87.49009193565651,200
E05004097 Boreham and The Leighs,78.5885038272901,200
E05004098 Broomfield and The Walthams,79.16293728498685,196,4
E05004099 Chelmer Village and Beaulieu Park,0.0
E05004100 Chelmsford Rural West,85.48707338074885,196,4
E05004101 Galleywood,53.77049221507068,200
"E05004105 Little Baddow, Danbury and Sandon",88.86875256447082,197,3
E05004106 Marconi,0.0
E05004108 Moulsham Lodge,0.0
E05004109 Patching Hall,0.0
E05004110 Rettendon and Runwell,85.28096809374732,199,1
E05004111 St Andrews,0.0
"E05004112 South Hanningfield, Stock and Margaretting",86.1789938354289,199,1
E05004113 South Woodham-Chetwood and Collingwood,0.0
E05004114 South Woodham-Elmwood and Woodville,0.0
E05004115 Springfield North,0.0
E05004116 The Lawns,0.0
E05004117 Trinity,0.0
E05004118 Waterhouse Farm,0.0
E05004119 Writtle,90.40934318917955,200
E05004190 Althorne,81.65434838586341,199,1
E05004191 Burnham-on-Crouch North,31.839537172864226,200
E05004192 Burnham-on-Crouch South,0.0
E05004193 Great Totham,88.29689861900803,200
E05004194 Heybridge East,0.0
E05004195 Heybridge West,0.0
E05004196 Maldon East,0.0
E05004197 Maldon North,0.0
E05004198 Maldon South,0.0
E05004199 Maldon West,0.0
E05004200 Mayland,74.05736981426269,200
E05004201 Purleigh,83.42794956302801,196,4
E05004202 Southminster,74.26083663630705,200
E05004203 Tillingham,93.27700828513726,191,8,1
E05004204 Tollesbury,0.0
E05004205 Tolleshunt D'Arcy,89.14481217946255,195,5
E05004206 Wickham Bishops and Woodham,70.7865457726511,200
E05004691 Adeyfield East,0.0
E05004692 Adeyfield West,0.0
E05004693 Aldbury and Wigginton,38.44622506837186,200
E05004694 Apsley and Corner Hall,0.0
E05004695 Ashridge,74.27554221474854,200
E05004696 Bennetts End,0.0
E05004697 Berkhamsted Castle,0.0
E05004698 Berkhamsted East,0.0
E05004699 Berkhamsted West,0.0
"E05004700 Bovingdon, Flaunden and Chipperfield",80.8254321576749,199,1
E05004701 Boxmoor,0.0
E05004702 Chaulden and Warners End,0.0
E05004703 Gadebridge,0.0
E05004704 Grovehill,0.0
E05004705 Hemel Hempstead Town,0.0
E05004706 Highfield,0.0
E05004707 Kings Langley,44.5657533608188,200
E05004708 Leverstock Green,0.0
E05004709 Nash Mills,0.0
E05004710 Northchurch,67.88829529147382,200
E05004711 Tring Central,0.0
E05004712 Tring East,44.90916933843233,200
E05004713 Tring West and Rural,69.09423648555145,200
E05004714 Watling,89.37536297939035,194,6
E05004715 Woodhall Farm,0.0
E05005010 Cowden and Hever,78.24699084710734,200
E05005011 Crockenhill and Well Hill,33.44050697585713,200
E05005012 Dunton Green and Riverhead,0.0
E05005013 Edenbridge North and East,0.0
E05005014 Edenbridge South and West,67.39342936694595,200
"E05005016 Farningham, Horton Kirby and South Darenth",80.48589483644666,200
E05005017 Fawkham and West Kingsdown,71.22222215125045,200
"E05005018 Halstead, Knockholt and Badgers Mount",74.60249358718222,200
E05005021 Kemsing,70.5187953313147,200
E05005026 Sevenoaks Eastern,0.0
E05005027 Sevenoaks Kippington,0.0
E05005028 Sevenoaks Northern,0.0
E05005029 Sevenoaks Town and St John's,0.0
E05005031 Swanley St Mary's,0.0
E05005032 Swanley White Oak,0.0
E05005081 Beacon Road,0.0
E05005082 Birchington North,0.0
E05005083 Birchington South,0.0
E05005084 Bradstowe,0.0
E05005085 Central Harbour,0.0
E05005086 Cliffsend and Pegwell,0.0
E05005087 Cliftonville East,0.0
E05005088 Cliftonville West,0.0
E05005089 Dane Valley,0.0
E05005090 Eastcliff,0.0
E05005091 Garlinge,0.0
E05005092 Kingsgate,0.0
E05005093 Margate Central,0.0
E05005094 Nethercourt,0.0
E05005095 Newington,0.0
E05005096 Northwood,0.0
E05005097 St Peters,0.0
E05005098 Salmestone,0.0
E05005099 Sir Moses Montefiore,0.0
E05005100 Thanet Villages,93.91778613203955,193,7
E05005101 Viking,0.0
E05005102 Westbrook,0.0
E05005103 Westgate-on-Sea,0.0
E05005150 Bank Hall,0.0
E05005151 Briercliffe,80.75936482717883,200
E05005152 Brunshaw,0.0
E05005153 Cliviger with Worsthorne,91.89988716872821,194,5,1
E05005154 Coal Clough with Deerplay,47.2827865425224,200
E05005155 Daneshouse with Stoneyholme,0.0
E05005156 Gannow,0.0
E05005157 Gawthorpe,0.0
E05005158 Hapton with Park,77.28529560812235,200
E05005159 Lanehead,0.0
E05005160 Queensgate,0.0
E05005161 Rosegrove with Lowerhouse,0.0
E05005162 Rosehill with Burnley Wood,0.0
E05005163 Trinity,0.0
E05005164 Whittlefield with Ightenhill,0.0
E05005206 Altham,80.86703913651638,200
E05005207 Barnfield,0.0
E05005208 Baxenden,0.0
E05005209 Central,0.0
E05005210 Church,0.0
E05005211 Clayton-le-Moors,0.0
E05005212 Huncoat,0.0
E05005213 Immanuel,82.57758525898235,200
E05005214 Milnshaw,0.0
E05005215 Netherton,0.0
E05005216 Overton,72.05884303698,200
E05005217 Peel,0.0
E05005218 Rishton,64.83512412393287,200
E05005219 St Andrew's,0.0
E05005220 St Oswald's,0.0
E05005221 Spring Hill,0.0
E05005479 Ambien,92.817085224963,198,2
"E05005480 Barlestone, Nailstone and Osbaston",83.66287291809138,200
E05005481 Barwell,47.290136615736465,200
E05005482 Burbage St Catherines and Lash Hill,0.0
E05005483 Burbage Sketchley and Stretton,38.65690686585085,200
"E05005484 Cadeby, Carlton and Market Bosworth with Shackerstone",81.61489502253389,200
E05005485 Earl Shilton,59.247948098715796,200
E05005486 Groby,0.0
E05005487 Hinckley Castle,0.0
E05005488 Hinckley Clarendon,0.0
E05005489 Hinckley De Montfort,0.0
E05005490 Hinckley Trinity,0.0
"E05005491 Markfield, Stanton and Fieldhead",55.111858295647764,200
E05005492 Newbold Verdon with Desford and Peckleton,83.87499512532732,197,3
"E05005493 Ratby, Bagworth and Thornton",79.41003469506128,200
E05005494 Twycross and Witherley with Sheepy,92.37999823046228,196,4
E05005495 Asfordby,52.401431163107375,200
E05005496 Bottesford,87.0609456426556,199,1
E05005497 Croxton Kerrial,93.12010666365376,191,8,1
E05005498 Frisby-on-the-Wreake,92.84218035946068,200
E05005499 Gaddesby,90.30274835731113,200
E05005500 Long Clawson and Stathern,94.4140761028881,194,6
E05005501 Melton Craven,0.0
E05005502 Melton Dorian,0.0
E05005503 Melton Egerton,0.0
E05005504 Melton Newport,0.0
E05005505 Melton Sysonby,0.0
E05005506 Melton Warwick,0.0
E05005507 Old Dalby,83.23475835930482,200
E05005508 Somerby,84.60987218491941,199,1
E05005509 Waltham-on-the-Wolds,83.58781109200547,200
E05005510 Wymondham,93.868051933087,187,10,3
E05005531 Oadby Brocks Hill,0.0
E05005532 Oadby Grange,0.0
E05005533 Oadby St Peter's,0.0
E05005534 Oadby Uplands,0.0
E05005535 Oadby Woodlands,0.0
E05005536 South Wigston,0.0
E05005537 Wigston All Saints,0.0
E05005538 Wigston Fields,0.0
E05005539 Wigston Meadowcourt,0.0
E05005540 Wigston St Wolstan's,0.0
E05005644 Crowland and Deeping St Nicholas,95.80591935049874,184,15,0,1
"E05005645 Donington, Quadring and Gosberton",90.5959178281152,188,9,3
E05005646 Fleet,44.288377465837094,200
E05005647 Gedney,68.03959431730267,198,2
E05005648 Holbeach Hurn,93.93687394150724,186,10,4
E05005649 Holbeach Town,0.0
E05005650 Long Sutton,73.40436475726104,199,1
"E05005651 Moulton, Weston and Cowbit",89.85419660242324,191,9
E05005652 Pinchbeck and Surfleet,89.11790516744288,191,8,1
E05005653 Spalding Castle,0.0
E05005654 Spalding Monks House,0.0
E05005655 Spalding St John's,0.0
E05005656 Spalding St Mary's,72.68218422846265,200
E05005657 Spalding St Paul's,59.25441010796056,200
E05005658 Spalding Wygate,0.0
E05005659 Sutton Bridge,89.50464718467559,194,6
E05005660 The Saints,90.46726982407192,198,2
E05005661 Whaplode and Holbeach St John's,70.85677705048678,197,3
E05005757 Acle,45.02562484968256,200
E05005758 Aylsham,86.02490987861215,196,4
E05005759 Blofield with South Walsham,91.36683146163743,194,6
E05005760 Brundall,57.3735105042238,200
E05005761 Burlingham,78.29219624512984,200
E05005762 Buxton,51.06968741470136,200
E05005764 Drayton North,0.0
E05005765 Drayton South,0.0
E05005766 Eynesford,93.03721996157968,197,3
E05005767 Great Witchingham,94.30952335741783,191,8,1
E05005768 Hellesdon North West,0.0
E05005769 Hellesdon South East,0.0
E05005770 Hevingham,86.13038252671666,200
E05005771 Horsford and Felthorpe,84.4318188137461,200
E05005772 Marshes,82.78352572787287,195,5
E05005773 Old Catton and Sprowston West,0.0
E05005774 Plumstead,79.57859968369486,200
E05005775 Reepham,84.28769046348812,200
E05005777 Sprowston Central,0.0
E05005778 Sprowston East,0.0
E05005779 Taverham North,0.0
E05005780 Taverham South,0.0
E05005781 Thorpe St Andrew North West,0.0
E05005782 Thorpe St Andrew South East,0.0
E05005783 Wroxham,83.46502564606122,199,1
E05005784 Bradwell North,0.0
E05005785 Bradwell South and Hopton,0.0
E05005786 Caister North,0.0
E05005787 Caister South,49.98994193317526,200
E05005788 Central and Northgate,0.0
E05005789 Claydon,0.0
E05005790 East Flegg,86.63699466008649,200
E05005791 Fleggburgh,91.57577687412002,195,5
E05005792 Gorleston,0.0
E05005793 Lothingland,72.86588653939828,200
E05005794 Magdalen,0.0
E05005795 Nelson,0.0
E05005796 Ormesby,72.53495445013682,200
E05005797 St Andrews,0.0
E05005798 Southtown and Cobholm,0.0
E05005799 West Flegg,86.79561717476808,199,1
E05005800 Yarmouth North,0.0
E05006377 Beckingham,88.89169138375875,198,2
E05006378 Blyth,79.1671936161552,200
E05006380 Clayworth,74.64325990735001,200
E05006381 East Markham,94.51165784254336,195,5
E05006382 East Retford East,0.0
E05006383 East Retford North,0.0
E05006384 East Retford South,0.0
E05006385 East Retford West,0.0
E05006386 Everton,92.33584294528583,194,6
E05006387 Harworth,0.0
E05006388 Langold,58.633511642604276,200
E05006389 Misterton,87.3555801714532,200
E05006390 Rampton,91.85845359362204,195,5
E05006391 Ranskill,59.13158785230064,200
E05006392 Sturton,92.25441863240724,194,6
E05006393 Sutton,89.38278931511165,198,2
E05006394 Tuxford and Trent,82.75934660141154,195,5
E05006395 Welbeck,92.84972242217103,193,7
E05006396 Worksop East,92.6287313080165,200
E05006397 Worksop North,0.0
E05006399 Worksop North West,40.551897481343055,200
E05006400 Worksop South,88.61302485893628,200
E05006401 Worksop South East,56.355538398070046,200
E05006627 Alvescot and Filkins,90.82797691537935,193,7
E05006628 Ascott and Shipton,84.53744949210729,200
E05006629 Bampton and Clanfield,90.38491133754157,198,2
E05006632 Carterton North East,0.0
E05006634 Carterton South,0.0
E05006637 Chipping Norton,60.79462011455169,200
E05006638 Ducklington,71.06563521673444,200
E05006639 Eynsham and Cassington,85.83665326837918,200
E05006640 Freeland and Hanborough,85.55608756119402,200
"E05006642 Kingham, Rollright and Enstone",81.7715452468871,189,9,2
E05006643 Milton-under-Wychwood,89.74457138914106,198,2
E05006644 North Leigh,85.94065941273797,200
"E05006645 Standlake, Aston and Stanton Harcourt",91.7579239332347,193,7
E05006646 Stonesfield and Tackley,80.74378860252105,197,3
E05006647 The Bartons,93.4039395231209,200
E05006648 Witney Central,0.0
E05006649 Witney East,0.0
E05006650 Witney North,0.0
E05006651 Witney South,0.0
E05006652 Witney West,0.0
E05006653 Woodstock and Bladon,76.41857095082074,200
E05007039 Alton,66.81327365295206,200
E05007040 Bagnall and Stanley,62.10920591306742,200
E05007041 Biddulph East,0.0
E05007042 Biddulph Moor,0.0
E05007043 Biddulph North,67.70505037076865,200
E05007044 Biddulph South,0.0
E05007045 Biddulph West,68.6080618377581,200
E05007046 Brown Edge and Endon,85.00089442913273,200
E05007047 Caverswall,84.05747388468113,200
E05007048 Cellarhead,0.0
E05007049 Cheadle North East,0.0
E05007050 Cheadle South East,41.58080735761476,200
E05007051 Cheadle West,0.0
E05007052 Checkley,79.24426927363393,200
E05007053 Cheddleton,89.98539650417501,196,4
E05007054 Churnet,74.78699401866486,200
E05007055 Dane,92.35068182797735,184,12,4
E05007056 Forsbrook,0.0
E05007057 Hamps Valley,92.6438965731818,191,9
E05007058 Horton,85.54142909520813,197,3
E05007059 Ipstones,93.12911200882796,199,1
E05007060 Leek East,0.0
E05007061 Leek North,0.0
E05007062 Leek South,0.0
E05007063 Leek West,0.0
E05007064 Manifold,91.74013820298073,185,12,3
E05007065 Werrington,0.0
E05007066 Amington,0.0
E05007067 Belgrave,0.0
E05007068 Bolehall,0.0
E05007069 Castle,0.0
E05007070 Glascote,0.0
E05007071 Mercian,0.0
E05007072 Spital,0.0
E05007073 Stonydelph,0.0
E05007074 Trinity,0.0
E05007075 Wilnecote,0.0
E05007117 Alexandra,0.0
E05007118 Bixley,0.0
E05007119 Bridge,0.0
E05007120 Castle Hill,0.0
E05007121 Gainsborough,0.0
E05007122 Gipping,0.0
E05007123 Holywells,0.0
